-0.82,;0.33
3.17,;0.85,;2.50
0.15,;-0.02,;0.99
3.05,;0.85,;2.56
0.14,;-0.02,;0.99
2.99,;0.61,;2.56
0.15,;-0.02,;0.99
3.11,;0.85,;2.56
0.14,;-0.02,;0.99
2.93,;0.67,;2.38
0.15,;-0.02,;0.99
3.23,;0.67,;2.44
0.15,;-0.02,;0.99
3.11,;0.85,;2.44
0.14,;-0.02,;0.99
3.23,;0.85,;2.44
0.15,;-0.02,;0.99
3.36,;0.85,;2.44
0.15,;-0.02,;0.99
3.17,;0.85,;2.44
0.14,;-0.02,;0.99
3.17,;0.79,;2.56
0.15,;-0.02,;0.99
3.11,;0.79,;2.50
0.15,;-0.02,;0.99
3.36,;0.79,;2.38
0.15,;-0.02,;0.99
3.11,;0.73,;2.44
0.15,;-0.02,;0.99
3.05,;0.79,;2.38
0.15,;-0.02,;0.99
3.23,;0.79,;2.44
0.15,;-0.02,;0.99
3.11,;0.85,;2.50
0.14,;-0.02,;0.99
3.17,;0.79,;2.62
0.15,;-0.02,;0.99
3.17,;0.67,;2.56
0.15,;-0.02,;0.99
3.11,;0.85,;2.75
0.15,;-0.02,;0.99
3.17,;0.85,;2.44
0.15,;-0.02,;0.99
2.81,;0.79,;2.50
0.14,;-0.02,;0.99
3.05,;0.61,;2.62
0.15,;-0.02,;0.99
3.05,;0.67,;2.56
0.15,;-0.02,;0.99
3.17,;0.73,;2.62
0.14,;-0.02,;0.99
3.17,;0.92,;2.56
0.15,;-0.02,;0.99
3.11,;0.67,;2.38
0.15,;-0.02,;0.99
3.17,;0.98,;2.50
0.15,;-0.02,;0.99
3.11,;0.79,;2.44
0.15,;-0.02,;0.99
3.23,;0.92,;2.56
0.14,;-0.02,;0.99
3.23,;0.73,;2.50
0.15,;-0.02,;0.99
3.17,;0.79,;2.56
0.15,;-0.02,;0.99
3.11,;0.92,;2.56
0.15,;-0.02,;0.99
3.17,;0.79,;2.56
0.15,;-0.02,;0.99
3.23,;0.85,;2.50
0.15,;-0.02,;0.99
3.23,;0.79,;2.38
0.15,;-0.02,;0.99
3.11,;0.85,;2.50
0.14,;-0.02,;0.99
3.17,;0.85,;2.69
0.15,;-0.02,;0.99
3.05,;0.73,;2.50
0.15,;-0.02,;0.99
3.30,;0.67,;2.69
0.15,;-0.02,;0.99
3.23,;0.85,;2.62
0.15,;-0.02,;0.99
3.05,;0.73,;2.69
0.15,;-0.02,;0.99
2.93,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.73,;2.56
0.15,;-0.02,;0.99
3.11,;0.67,;2.56
0.15,;-0.02,;0.99
3.05,;0.92,;2.62
0.14,;-0.02,;0.99
2.99,;0.79,;2.56
0.15,;-0.02,;0.99
2.99,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.85,;2.62
0.15,;-0.02,;0.99
3.23,;0.67,;2.62
0.15,;-0.02,;0.99
3.17,;0.79,;2.62
0.15,;-0.02,;0.99
3.17,;0.73,;2.56
0.15,;-0.02,;0.99
3.30,;0.92,;2.50
0.15,;-0.02,;0.99
3.17,;0.85,;2.56
0.15,;-0.02,;0.99
3.42,;0.73,;2.62
0.14,;-0.02,;0.99
3.11,;0.73,;2.56
0.15,;-0.02,;0.99
3.11,;0.79,;2.56
0.15,;-0.02,;0.99
3.11,;0.85,;2.50
0.15,;-0.02,;0.99
3.17,;0.79,;2.62
0.15,;-0.02,;0.99
2.99,;0.85,;2.44
0.15,;-0.02,;0.99
3.30,;0.98,;2.50
0.15,;-0.02,;0.99
2.99,;0.85,;2.69
0.15,;-0.02,;0.99
2.99,;0.92,;2.56
0.15,;-0.02,;0.99
3.11,;0.79,;2.56
0.15,;-0.02,;0.99
3.05,;0.79,;2.50
0.15,;-0.02,;0.99
3.17,;0.85,;2.62
0.15,;-0.02,;0.99
3.17,;0.79,;2.50
0.15,;-0.02,;0.99
3.17,;1.04,;2.69
0.15,;-0.02,;0.99
3.17,;0.92,;2.50
0.15,;-0.02,;0.99
3.17,;0.73,;2.56
0.15,;-0.02,;0.99
3.17,;0.67,;2.50
0.15,;-0.02,;0.99
3.11,;0.73,;2.62
0.15,;-0.02,;0.99
3.23,;0.92,;2.50
0.15,;-0.02,;0.99
3.11,;0.73,;2.50
0.15,;-0.02,;0.99
3.05,;0.73,;2.75
0.15,;-0.02,;0.99
3.05,;0.55,;2.56
0.15,;-0.02,;0.99
3.05,;0.73,;2.56
0.15,;-0.02,;0.99
2.93,;0.79,;2.69
0.15,;-0.02,;0.99
3.05,;0.79,;2.56
0.15,;-0.02,;0.99
3.11,;0.61,;2.50
0.14,;-0.02,;0.99
2.99,;0.79,;2.56
0.15,;-0.02,;0.99
3.23,;0.67,;2.50
0.15,;-0.02,;0.99
3.17,;0.73,;2.38
0.15,;-0.02,;0.99
3.11,;0.79,;2.62
0.15,;-0.02,;0.99
3.17,;0.85,;2.62
0.15,;-0.02,;0.99
3.11,;0.79,;2.50
0.14,;-0.02,;0.99
3.11,;0.85,;2.56
0.15,;-0.03,;0.99
3.23,;0.85,;2.56
0.14,;-0.02,;0.99
3.05,;0.73,;2.50
0.15,;-0.02,;0.99
2.99,;0.85,;2.62
0.15,;-0.02,;0.99
3.05,;0.79,;2.62
0.15,;-0.02,;0.99
3.17,;0.79,;2.69
0.15,;-0.02,;0.99
2.99,;0.85,;2.56
0.14,;-0.02,;0.99
3.11,;0.73,;2.56
0.15,;-0.02,;0.99
3.11,;0.85,;2.44
0.15,;-0.02,;0.99
3.05,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.67,;2.50
0.15,;-0.02,;0.99
3.05,;0.92,;2.50
0.15,;-0.02,;0.99
3.17,;0.92,;2.50
0.15,;-0.02,;0.99
3.23,;0.98,;2.62
0.14,;-0.02,;0.99
3.05,;0.73,;2.62
0.15,;-0.02,;0.99
2.99,;0.73,;2.56
0.15,;-0.02,;0.99
3.05,;0.92,;2.50
0.15,;-0.02,;0.99
3.30,;0.92,;2.56
0.15,;-0.02,;0.99
3.23,;0.73,;2.44
0.15,;-0.02,;0.99
3.30,;0.98,;2.69
0.15,;-0.02,;0.99
3.30,;0.98,;2.62
0.15,;-0.02,;0.99
3.23,;0.79,;2.56
0.15,;-0.02,;0.99
3.23,;0.79,;2.50
0.15,;-0.02,;0.99
3.23,;0.67,;2.38
0.14,;-0.02,;0.99
3.17,;0.85,;2.56
0.15,;-0.02,;0.99
3.17,;0.85,;2.56
0.15,;-0.02,;0.99
3.30,;0.79,;2.56
0.15,;-0.02,;0.99
3.05,;0.79,;2.69
0.15,;-0.02,;0.99
3.11,;0.79,;2.62
0.15,;-0.02,;0.99
3.17,;0.55,;2.50
0.15,;-0.02,;0.99
3.05,;0.73,;2.50
0.15,;-0.02,;0.99
3.05,;0.79,;2.56
0.15,;-0.02,;0.99
3.23,;0.73,;2.50
0.14,;-0.02,;0.99
3.05,;0.85,;2.44
0.15,;-0.02,;0.99
2.93,;0.67,;2.56
0.15,;-0.02,;0.99
3.11,;0.79,;2.50
0.15,;-0.02,;0.99
3.05,;0.61,;2.62
0.15,;-0.02,;0.99
3.05,;0.79,;2.62
0.15,;-0.02,;0.99
2.99,;0.73,;2.50
0.15,;-0.02,;0.99
3.17,;0.79,;2.69
0.15,;-0.02,;0.99
3.11,;0.79,;2.44
0.15,;-0.02,;0.99
3.23,;0.79,;2.62
0.15,;-0.02,;0.99
3.23,;0.73,;2.50
0.15,;-0.02,;0.99
3.36,;0.67,;2.50
0.15,;-0.02,;0.99
3.30,;0.73,;2.56
0.15,;-0.02,;0.99
2.99,;0.79,;2.44
0.14,;-0.02,;0.99
3.11,;0.85,;2.32
0.14,;-0.02,;0.99
3.17,;0.92,;2.50
0.15,;-0.02,;0.99
3.30,;0.73,;2.44
0.14,;-0.02,;0.99
3.30,;0.73,;2.38
0.14,;-0.02,;0.99
3.17,;0.73,;2.56
0.15,;-0.02,;0.99
3.17,;0.85,;2.50
0.14,;-0.02,;0.99
3.23,;0.61,;2.56
0.15,;-0.02,;0.99
3.36,;0.79,;2.44
0.15,;-0.02,;0.99
3.36,;0.92,;2.38
0.15,;-0.02,;0.99
2.99,;0.73,;2.50
0.15,;-0.02,;0.99
2.93,;0.85,;2.56
0.15,;-0.02,;0.99
3.17,;0.79,;2.56
0.14,;-0.02,;0.99
2.99,;0.79,;2.44
0.14,;-0.02,;0.99
3.11,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.79,;2.69
0.15,;-0.02,;0.99
3.05,;0.67,;2.75
0.15,;-0.02,;0.99
2.93,;0.79,;2.56
0.15,;-0.02,;0.99
3.05,;0.67,;2.56
0.15,;-0.02,;0.99
3.05,;0.73,;2.50
0.15,;-0.02,;0.99
2.99,;0.73,;2.56
0.15,;-0.02,;0.99
3.11,;0.79,;2.62
0.14,;-0.02,;0.99
3.11,;0.67,;2.50
0.14,;-0.02,;0.99
3.05,;0.73,;2.50
0.15,;-0.02,;0.99
2.87,;0.85,;2.56
0.15,;-0.02,;0.99
3.17,;0.73,;2.44
0.14,;-0.02,;0.99
2.93,;0.85,;2.50
0.15,;-0.02,;0.99
3.17,;0.79,;2.44
0.15,;-0.02,;0.99
3.23,;0.73,;2.56
0.15,;-0.02,;0.99
3.23,;0.85,;2.56
0.14,;-0.02,;0.99
3.23,;0.79,;2.56
0.15,;-0.02,;0.99
3.30,;0.73,;2.62
0.15,;-0.02,;0.99
3.30,;0.79,;2.50
0.15,;-0.02,;0.99
3.17,;0.73,;2.62
0.15,;-0.02,;0.99
3.11,;0.85,;2.56
0.14,;-0.02,;0.99
3.17,;0.79,;2.56
0.15,;-0.02,;0.99
3.17,;0.61,;2.44
0.15,;-0.02,;0.99
3.30,;0.79,;2.62
0.15,;-0.02,;0.99
3.05,;0.85,;2.50
0.15,;-0.02,;0.99
2.99,;0.79,;2.44
0.15,;-0.02,;0.99
3.05,;0.73,;2.62
0.14,;-0.02,;0.99
3.11,;0.92,;2.56
0.15,;-0.02,;0.99
3.05,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.73,;2.50
0.15,;-0.02,;0.99
3.11,;0.79,;2.50
0.15,;-0.02,;0.99
3.05,;0.67,;2.50
0.14,;-0.02,;0.99
3.11,;0.73,;2.50
0.15,;-0.02,;0.99
3.23,;0.61,;2.38
0.15,;-0.02,;0.99
3.05,;0.79,;2.38
0.15,;-0.02,;0.99
3.17,;0.79,;2.38
0.15,;-0.02,;0.99
3.11,;0.92,;2.50
0.14,;-0.02,;0.99
3.17,;0.67,;2.50
0.15,;-0.02,;0.99
3.23,;0.67,;2.56
0.14,;-0.02,;0.99
3.23,;0.67,;2.38
0.14,;-0.02,;0.99
3.30,;0.61,;2.56
0.15,;-0.02,;0.99
3.05,;0.67,;2.38
0.15,;-0.02,;0.99
3.11,;0.85,;2.44
0.15,;-0.02,;0.99
3.11,;0.73,;2.50
0.15,;-0.02,;0.99
3.11,;0.73,;2.44
0.15,;-0.02,;0.99
3.11,;0.79,;2.56
0.15,;-0.02,;0.99
3.11,;0.73,;2.44
0.15,;-0.02,;0.99
3.23,;0.73,;2.38
0.14,;-0.02,;0.99
3.05,;0.92,;2.38
0.15,;-0.02,;0.99
3.05,;0.73,;2.44
0.15,;-0.02,;0.99
2.99,;0.79,;2.44
0.15,;-0.02,;0.99
2.99,;0.79,;2.56
0.14,;-0.02,;0.99
2.99,;0.73,;2.50
0.15,;-0.02,;0.99
3.30,;0.73,;2.38
0.15,;-0.02,;0.99
3.17,;0.67,;2.38
0.15,;-0.02,;0.99
3.17,;0.67,;2.56
0.14,;-0.02,;0.99
2.99,;0.85,;2.56
0.14,;-0.02,;0.99
3.11,;0.79,;2.50
0.15,;-0.02,;0.99
3.17,;0.79,;2.44
0.15,;-0.03,;0.99
2.99,;0.73,;2.44
0.14,;-0.02,;0.99
3.11,;0.85,;2.56
0.14,;-0.02,;0.99
2.93,;0.85,;2.56
0.15,;-0.03,;0.99
3.11,;0.79,;2.56
0.14,;-0.02,;0.99
2.99,;0.73,;2.50
0.15,;-0.03,;0.99
3.05,;0.79,;2.38
0.15,;-0.02,;0.99
3.05,;0.85,;2.50
0.14,;-0.02,;0.99
3.05,;0.67,;2.38
0.15,;-0.02,;0.99
2.99,;0.79,;2.44
0.14,;-0.02,;0.99
3.23,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.85,;2.26
0.15,;-0.03,;0.99
3.48,;0.73,;2.32
0.14,;-0.02,;0.99
3.30,;0.73,;2.44
0.15,;-0.02,;0.99
3.36,;0.98,;2.26
0.14,;-0.02,;0.99
3.36,;0.85,;2.50
0.15,;-0.02,;0.99
3.17,;0.79,;2.44
0.15,;-0.02,;0.99
3.17,;0.73,;2.69
0.15,;-0.02,;0.99
3.05,;0.79,;2.44
0.14,;-0.02,;0.99
3.11,;0.79,;2.38
0.14,;-0.02,;0.99
3.30,;0.79,;2.44
0.15,;-0.02,;0.99
3.17,;0.85,;2.44
0.15,;-0.02,;0.99
3.17,;0.67,;2.44
0.15,;-0.02,;0.99
3.23,;0.79,;2.38
0.15,;-0.03,;0.99
3.17,;0.67,;2.44
0.14,;-0.02,;0.99
3.30,;0.73,;2.38
0.14,;-0.02,;0.99
3.17,;0.79,;2.44
0.15,;-0.02,;0.99
3.23,;0.73,;2.44
0.15,;-0.02,;0.99
3.17,;0.79,;2.50
0.15,;-0.02,;0.99
3.30,;0.79,;2.44
0.15,;-0.02,;0.99
3.23,;0.79,;2.50
0.15,;-0.02,;0.99
2.99,;0.73,;2.44
0.15,;-0.02,;0.99
2.99,;0.79,;2.50
0.15,;-0.03,;0.99
3.17,;0.79,;2.62
0.15,;-0.02,;0.99
2.99,;0.61,;2.44
0.15,;-0.03,;0.99
3.11,;0.67,;2.50
0.15,;-0.02,;0.99
3.36,;0.85,;2.56
0.14,;-0.02,;0.99
3.17,;0.73,;2.56
0.15,;-0.02,;0.99
3.30,;0.73,;2.50
0.14,;-0.02,;0.99
3.11,;0.92,;2.50
0.15,;-0.02,;0.99
3.11,;0.79,;2.44
0.14,;-0.02,;0.99
3.05,;0.73,;2.44
0.15,;-0.02,;0.99
3.11,;0.73,;2.56
0.15,;-0.02,;0.99
3.17,;0.73,;2.50
0.14,;-0.02,;0.99
3.05,;0.85,;2.44
0.15,;-0.02,;0.99
3.17,;0.85,;2.44
0.14,;-0.02,;0.99
3.17,;0.79,;2.38
0.14,;-0.02,;0.99
3.17,;0.67,;2.32
0.14,;-0.02,;0.99
3.17,;0.73,;2.50
0.14,;-0.02,;0.99
3.23,;0.73,;2.44
0.14,;-0.02,;0.99
3.05,;0.92,;2.50
0.14,;-0.02,;0.99
3.17,;0.85,;2.50
0.15,;-0.02,;0.99
3.17,;0.73,;2.44
0.15,;-0.02,;0.99
3.11,;0.73,;2.50
0.14,;-0.02,;0.99
3.11,;0.98,;2.50
0.15,;-0.02,;0.99
3.23,;0.73,;2.44
0.15,;-0.02,;0.99
3.23,;0.79,;2.75
0.15,;-0.02,;0.99
3.17,;0.73,;2.50
0.15,;-0.02,;0.99
3.17,;0.85,;2.50
0.14,;-0.02,;0.99
3.17,;0.67,;2.44
0.15,;-0.02,;0.99
3.11,;0.67,;2.75
0.15,;-0.02,;0.99
3.11,;0.73,;2.44
0.15,;-0.02,;0.99
3.05,;0.79,;2.56
0.15,;-0.02,;0.99
2.93,;0.79,;2.62
0.15,;-0.02,;0.99
3.05,;0.85,;2.44
0.15,;-0.02,;0.99
3.05,;0.73,;2.50
0.15,;-0.02,;0.99
2.93,;0.73,;2.50
0.15,;-0.02,;0.99
3.11,;0.67,;2.38
0.14,;-0.02,;0.99
3.05,;0.85,;2.56
0.14,;-0.02,;0.99
2.99,;0.85,;2.50
0.15,;-0.02,;0.99
3.23,;0.67,;2.56
0.15,;-0.02,;0.99
2.99,;0.73,;2.38
0.15,;-0.02,;0.99
3.17,;0.92,;2.50
0.15,;-0.02,;0.99
3.05,;0.79,;2.44
0.14,;-0.02,;0.99
3.23,;0.61,;2.50
0.14,;-0.02,;0.99
2.99,;0.79,;2.50
0.15,;-0.02,;0.99
3.05,;0.79,;2.38
0.15,;-0.02,;0.99
3.05,;0.61,;2.56
0.15,;-0.02,;0.99
3.11,;0.85,;2.44
0.15,;-0.02,;0.99
2.99,;0.67,;2.56
0.15,;-0.02,;0.99
3.30,;0.79,;2.50
0.15,;-0.02,;0.99
3.05,;0.79,;2.50
0.15,;-0.02,;0.99
3.05,;0.92,;2.38
0.15,;-0.02,;0.99
3.17,;0.79,;2.50
0.15,;-0.02,;0.99
3.30,;0.85,;2.56
0.15,;-0.02,;0.99
2.99,;0.73,;2.44
0.15,;-0.02,;0.99
3.11,;0.73,;2.44
0.15,;-0.02,;0.99
3.30,;0.67,;2.56
0.14,;-0.02,;0.99
3.23,;0.79,;2.62
0.15,;-0.02,;0.99
3.05,;0.79,;2.44
0.15,;-0.02,;0.99
2.99,;0.73,;2.56
0.15,;-0.02,;0.99
3.05,;0.79,;2.50
0.14,;-0.02,;0.99
3.11,;0.79,;2.56
0.15,;-0.02,;0.99
3.17,;0.79,;2.56
0.15,;-0.02,;0.99
2.99,;0.79,;2.38
0.15,;-0.02,;0.99
3.05,;0.73,;2.32
0.14,;-0.02,;0.99
3.11,;0.73,;2.50
0.15,;-0.02,;0.99
3.17,;0.61,;2.50
0.15,;-0.02,;0.99
3.17,;0.85,;2.44
0.15,;-0.02,;0.99
3.30,;0.85,;2.50
0.15,;-0.02,;0.99
3.11,;0.61,;2.62
0.14,;-0.02,;0.99
3.05,;0.85,;2.50
0.15,;-0.02,;0.99
3.23,;0.67,;2.62
0.15,;-0.02,;0.99
3.11,;0.79,;2.62
0.15,;-0.02,;0.99
2.99,;0.85,;2.56
0.14,;-0.02,;0.99
3.05,;0.85,;2.69
0.15,;-0.02,;0.99
3.05,;0.61,;2.56
0.15,;-0.02,;0.99
3.11,;0.61,;2.50
0.15,;-0.02,;0.99
3.05,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.85,;2.50
0.15,;-0.02,;0.99
2.99,;0.73,;2.50
0.15,;-0.02,;0.99
3.17,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.98,;2.56
0.15,;-0.02,;0.99
2.99,;0.67,;2.44
0.15,;-0.02,;0.99
3.17,;0.85,;2.56
0.14,;-0.02,;0.99
3.05,;0.73,;2.44
0.15,;-0.02,;0.99
3.11,;0.79,;2.56
0.15,;-0.02,;0.99
2.93,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.85,;2.38
0.15,;-0.02,;0.99
3.17,;0.85,;2.62
0.15,;-0.02,;0.99
3.11,;0.85,;2.38
0.15,;-0.02,;0.99
3.23,;0.92,;2.38
0.15,;-0.02,;0.99
3.17,;0.67,;2.38
0.15,;-0.02,;0.99
3.11,;0.73,;2.44
0.15,;-0.02,;0.99
3.11,;0.73,;2.50
0.14,;-0.02,;0.99
3.11,;0.79,;2.44
0.15,;-0.02,;0.99
3.42,;0.79,;2.56
0.15,;-0.02,;0.99
3.11,;0.73,;2.38
0.15,;-0.02,;0.99
3.11,;0.55,;2.50
0.14,;-0.02,;0.99
3.11,;0.92,;2.50
0.15,;-0.02,;0.99
3.17,;0.85,;2.50
0.15,;-0.02,;0.99
3.05,;0.92,;2.44
0.15,;-0.02,;0.99
2.93,;0.98,;2.44
0.15,;-0.02,;0.99
3.11,;0.85,;2.69
0.14,;-0.02,;0.99
3.23,;0.73,;2.56
0.15,;-0.02,;0.99
3.17,;0.73,;2.50
0.15,;-0.02,;0.99
3.30,;0.85,;2.56
0.15,;-0.02,;0.99
3.17,;0.79,;2.50
0.15,;-0.02,;0.99
3.30,;0.85,;2.50
0.15,;-0.02,;0.99
3.23,;0.73,;2.56
0.15,;-0.02,;0.99
3.05,;0.79,;2.62
0.15,;-0.02,;0.99
3.17,;0.79,;2.56
0.14,;-0.02,;0.99
3.23,;0.79,;2.44
0.15,;-0.02,;0.99
3.23,;0.85,;2.38
0.15,;-0.02,;0.99
3.23,;0.85,;2.62
0.15,;-0.02,;0.99
3.05,;0.67,;2.50
0.15,;-0.02,;0.99
3.11,;0.61,;2.50
0.15,;-0.02,;0.99
3.05,;0.73,;2.50
0.15,;-0.02,;0.99
3.05,;0.73,;2.38
0.14,;-0.02,;0.99
3.05,;0.73,;2.50
0.14,;-0.02,;0.99
3.05,;0.73,;2.44
0.15,;-0.02,;0.99
3.05,;0.73,;2.50
0.15,;-0.02,;0.99
3.17,;0.79,;2.62
0.14,;-0.02,;0.99
2.99,;0.73,;2.56
0.15,;-0.02,;0.99
3.05,;0.85,;2.50
0.15,;-0.02,;0.99
3.05,;0.73,;2.50
0.14,;-0.02,;0.99
2.99,;0.85,;2.38
0.15,;-0.02,;0.99
3.05,;0.79,;2.81
0.14,;-0.02,;0.99
3.17,;0.73,;2.44
0.15,;-0.02,;0.99
3.23,;0.73,;2.38
0.15,;-0.02,;0.99
3.05,;0.73,;2.44
0.15,;-0.02,;0.99
3.17,;0.61,;2.32
0.15,;-0.02,;0.99
3.30,;0.73,;2.38
0.14,;-0.02,;0.99
3.11,;0.79,;2.44
0.15,;-0.02,;0.99
3.23,;0.73,;2.38
0.14,;-0.02,;0.99
2.99,;0.79,;2.38
0.15,;-0.02,;0.99
3.11,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.79,;2.50
0.15,;-0.02,;0.99
3.17,;0.73,;2.44
0.15,;-0.02,;0.99
3.17,;0.85,;2.44
0.15,;-0.02,;0.99
3.05,;0.85,;2.62
0.14,;-0.02,;0.99
3.05,;0.67,;2.44
0.15,;-0.02,;0.99
3.11,;0.98,;2.44
0.15,;-0.02,;0.99
3.11,;0.79,;2.44
0.15,;-0.02,;0.99
2.87,;0.67,;2.56
0.15,;-0.02,;0.99
3.17,;0.79,;2.56
0.15,;-0.02,;0.99
3.11,;0.73,;2.50
0.14,;-0.02,;0.99
2.99,;0.73,;2.50
0.15,;-0.02,;0.99
3.17,;0.85,;2.50
0.15,;-0.02,;0.99
3.17,;0.98,;2.44
0.15,;-0.02,;0.99
3.23,;0.67,;2.50
0.15,;-0.02,;0.99
3.17,;0.79,;2.56
0.14,;-0.02,;0.99
3.11,;0.73,;2.32
0.14,;-0.02,;0.99
3.11,;0.73,;2.50
0.14,;-0.02,;0.99
3.30,;0.85,;2.50
0.14,;-0.02,;0.99
3.17,;0.85,;2.38
0.15,;-0.02,;0.99
3.23,;0.73,;2.50
0.15,;-0.02,;0.99
3.11,;0.79,;2.38
0.15,;-0.02,;0.99
2.99,;0.67,;2.50
0.15,;-0.02,;0.99
3.30,;0.67,;2.62
0.15,;-0.02,;0.99
3.17,;0.73,;2.69
0.15,;-0.02,;0.99
3.05,;0.73,;2.50
0.15,;-0.02,;0.99
2.99,;0.79,;2.44
0.15,;-0.02,;0.99
3.17,;0.73,;2.50
0.15,;-0.02,;0.99
3.11,;0.73,;2.44
0.15,;-0.02,;0.99
3.11,;0.67,;2.38
0.15,;-0.02,;0.99
3.11,;0.85,;2.44
0.15,;-0.02,;0.99
2.99,;0.73,;2.38
0.15,;-0.02,;0.99
3.11,;0.79,;2.44
0.15,;-0.02,;0.99
3.05,;0.79,;2.50
0.14,;-0.02,;0.99
2.87,;0.85,;2.56
0.15,;-0.02,;0.99
2.99,;0.73,;2.38
0.15,;-0.02,;0.99
3.17,;0.67,;2.62
0.15,;-0.02,;0.99
2.99,;0.73,;2.44
0.15,;-0.02,;0.99
3.17,;0.67,;2.56
0.14,;-0.02,;0.99
3.11,;0.55,;2.56
0.15,;-0.02,;0.99
2.93,;0.85,;2.50
0.15,;-0.02,;0.99
3.11,;0.73,;2.50
0.14,;-0.02,;0.99
3.11,;0.73,;2.44
0.15,;-0.02,;0.99
3.05,;0.79,;2.56
0.15,;-0.02,;0.99
2.99,;0.61,;2.26
0.15,;-0.02,;0.99
2.87,;0.67,;2.38
0.14,;-0.02,;0.99
3.11,;0.85,;2.56
0.14,;-0.02,;0.99
3.11,;0.85,;2.38
0.15,;-0.02,;0.99
3.11,;0.79,;2.56
0.15,;-0.03,;0.99
2.93,;0.85,;2.50
0.15,;-0.02,;0.99
2.99,;0.55,;2.44
0.15,;-0.02,;0.99
3.17,;0.67,;2.56
0.15,;-0.03,;0.99
3.05,;0.85,;2.50
0.15,;-0.02,;0.99
2.99,;0.73,;2.50
0.15,;-0.02,;0.99
3.23,;0.67,;2.44
0.15,;-0.02,;0.99
3.17,;0.98,;2.56
0.15,;-0.03,;0.99
3.23,;0.79,;2.44
0.14,;-0.02,;0.99
3.05,;0.61,;2.56
0.14,;-0.02,;0.99
2.93,;0.67,;2.38
0.15,;-0.02,;0.99
3.05,;0.67,;2.62
0.14,;-0.02,;0.99
3.11,;0.79,;2.56
0.14,;-0.02,;0.99
3.05,;0.61,;2.50
0.14,;-0.02,;0.99
2.93,;0.67,;2.50
0.14,;-0.02,;0.98
3.11,;1.04,;2.56
0.15,;-0.02,;0.99
3.17,;0.73,;2.56
0.14,;-0.02,;0.99
3.05,;0.73,;2.38
0.14,;-0.02,;0.99
3.05,;0.79,;2.44
0.15,;-0.02,;0.99
3.23,;0.85,;2.56
0.15,;-0.02,;0.99
3.30,;0.79,;2.56
0.15,;-0.02,;0.99
3.05,;0.73,;2.38
0.15,;-0.02,;0.99
2.93,;0.73,;2.44
0.14,;-0.02,;0.99
2.99,;0.73,;2.56
0.14,;-0.02,;0.99
2.93,;0.67,;2.56
0.14,;-0.02,;0.99
2.93,;0.73,;2.56
0.14,;-0.02,;0.99
3.05,;0.55,;2.26
0.15,;-0.02,;0.99
3.17,;0.73,;2.56
0.15,;-0.02,;0.99
3.23,;0.67,;2.38
0.15,;-0.02,;0.99
3.11,;0.85,;2.38
0.14,;-0.02,;0.99
3.17,;0.92,;2.38
0.14,;-0.02,;0.99
3.05,;0.85,;2.50
0.15,;-0.02,;0.99
3.17,;0.79,;2.44
0.15,;-0.02,;0.99
3.17,;0.67,;2.50
0.15,;-0.02,;0.99
3.05,;0.55,;2.50
0.15,;-0.02,;0.99
2.99,;0.73,;2.38
0.15,;-0.02,;0.99
3.11,;0.67,;2.69
0.15,;-0.02,;0.99
3.05,;0.67,;2.50
0.15,;-0.02,;0.99
2.99,;0.73,;2.56
0.15,;-0.02,;0.99
3.17,;0.67,;2.56
0.15,;-0.02,;0.99
3.11,;0.73,;2.50
0.15,;-0.02,;0.99
3.05,;0.73,;2.50
0.15,;-0.02,;0.99
3.05,;0.61,;2.50
0.15,;-0.02,;0.99
3.11,;0.79,;2.50
0.14,;-0.02,;0.99
3.11,;0.73,;2.44
0.15,;-0.02,;0.99
3.23,;0.79,;2.50
0.15,;-0.02,;0.99
3.23,;0.79,;2.44
0.15,;-0.02,;0.99
3.23,;0.79,;2.62
0.14,;-0.02,;0.99
3.11,;0.73,;2.56
0.15,;-0.02,;0.99
3.23,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.79,;2.32
0.14,;-0.02,;0.99
3.11,;0.85,;2.56
0.14,;-0.02,;0.99
3.11,;0.79,;2.38
0.14,;-0.02,;0.99
2.99,;0.85,;2.56
0.15,;-0.02,;0.99
3.17,;0.79,;2.50
0.15,;-0.02,;0.99
3.11,;0.79,;2.50
0.14,;-0.02,;0.99
3.17,;0.85,;2.56
0.14,;-0.02,;0.99
3.11,;0.73,;2.50
0.14,;-0.02,;0.99
3.23,;0.67,;2.50
0.15,;-0.02,;0.99
3.11,;0.67,;2.62
0.15,;-0.02,;0.99
3.05,;0.67,;2.50
0.14,;-0.02,;0.99
3.11,;0.61,;2.50
0.14,;-0.02,;0.99
3.17,;0.85,;2.50
0.15,;-0.02,;0.99
3.30,;0.85,;2.50
0.15,;-0.02,;0.99
3.05,;0.98,;2.44
0.15,;-0.02,;0.99
